index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,109.2697,111.275,107.9593,108.2495,9342365,9342365,-1.9173,-1.74,108.6308
2,108.2407,108.8828,106.0068,107.3348,9307592,9307592,-0.914686,-0.845,106.7806
3,106.4201,107.2469,104.4588,106.772,9691926,9691926,-0.562882,-0.524,105.4225
4,107.115,107.9329,106.8687,107.8889,6740580,6740580,1.117,1.046,107.5225
5,108.8388,111.8819,108.7508,111.7148,8928435,8928435,3.8259,3.546,108.8499
6,113.421,113.4298,111.1255,111.8379,8174510,8174510,0.123132,0.11,112.0315
7,112.2689,114.9426,112.1018,114.4764,7878823,7878823,2.6385,2.359,113.8149
8,115.237,115.467,113.2116,113.3266,5802666,5802666,-1.1499,-1.004,113.9041
9,112.3802,114.9274,112.3802,114.5383,4204248,4204248,1.2117,1.069,113.9267
10,114.1756,115.3431,113.2293,115.122,4813870,4813870,0.583747,0.51,114.4547
11,115.0955,115.8118,114.6267,115.5377,4653262,4653262,0.415699,0.361,115.3872
12,115.0778,115.4227,113.5388,113.5565,5149154,5149154,-1.9812,-1.715,114.4365
13,113.6361,114.9717,112.7782,114.5913,4470511,4470511,1.0348,0.911,114.1013
14,114.8036,114.8036,113.3089,113.4592,5170064,5170064,-1.1321,-0.988,113.9326
15,113.5477,115.6881,113.53,114.6179,4638248,4638248,1.1587,1.021,114.8922
16,114.3614,114.7594,111.6284,112.1325,7317397,7317397,-2.4853,-2.168,112.9572
17,112.5394,113.1585,111.7611,111.9822,4804395,4804395,-0.150359,-0.134,112.3665
18,111.8583,113.7069,111.6726,113.7069,4649978,4649978,1.7247,1.54,113.1195
19,113.8749,114.9364,113.2646,114.0253,4365211,4365211,0.318408,0.28,114.2729
20,112.4863,113.6007,111.9026,113.4062,4847051,4847051,-0.619126,-0.543,112.4393
21,114.4321,115.865,114.3879,115.1839,5423308,5423308,1.7778,1.568,115.2816
22,115.3343,115.6881,113.8219,113.9103,4097125,4097125,-1.2736,-1.106,114.5647
23,114.1049,114.4233,113.2381,113.9722,3599923,3599923,0.06191,0.054,113.8773
24,114.7594,115.122,113.2735,113.6892,4301861,4301861,-0.283026,-0.248,114.1185
25,111.8937,112.5748,110.3459,112.2298,7039871,7039871,-1.4594,-1.284,111.3336
26,112.3536,112.5659,111.1065,111.1508,4190977,4190977,-1.0791,-0.961,111.7392
27,110.5582,110.7351,109.5057,110.054,5041992,5041992,-1.0967,-0.987,110.2249
28,110.2486,111.0977,107.5775,107.8075,6071160,6071160,-2.2465,-2.041,105.372
29,108.0109,109.9214,107.8606,108.8865,5702757,5702757,1.079,1.001,110.3352
30,109.6472,111.2834,109.603,110.9297,4381634,4381634,2.0431,1.876,110.8037
31,111.08,111.2803,109.373,109.7091,4151560,4151560,-1.2206,-1.1,110.7896
32,109.9567,110.7351,107.3476,108.1171,6672961,6672961,-1.592,-1.451,106.2749
33,108.4266,109.5875,107.3564,109.4349,4601670,4601670,1.3179,1.219,108.7273
34,109.7268,110.0717,108.347,108.4178,7975403,7975403,-1.0171,-0.929,106.8196
35,109.258,109.6295,107.9755,109.1607,4476014,4476014,0.742948,0.685,108.8108
36,110.0806,110.5582,109.2845,109.6914,3229412,3229412,0.53068,0.486,109.7733
37,110.2132,110.8412,109.0723,109.258,3091527,3091527,-0.433387,-0.395,109.4155
38,108.7981,109.9391,107.7279,108.975,3116046,3116046,-0.283029,-0.259,107.086
39,109.4791,110.7262,109.2492,110.0806,2863453,2863453,1.1056,1.015,110.7676
40,110.8766,111.478,110.3813,110.9916,2962010,2962010,0.911,0.828,111.0535
41,111.6549,113.5654,111.593,113.3973,3953038,3953038,2.4057,2.168,112.8327
42,113.7688,113.8891,112.6809,113.4858,2934724,2934724,0.088445,0.078,113.2556
43,114.2464,114.2464,113.4592,113.9015,3305277,3305277,0.415699,0.366,113.884
44,114.3879,114.9097,112.5306,112.6632,4157463,4157463,-1.2383,-1.087,113.7464
45,112.4952,113.3664,110.514,111.08,3753854,3753854,-1.5832,-1.405,111.7594
46,110.8058,111.2038,109.7268,109.8064,4122171,4122171,-1.2736,-1.147,110.1453
47,110.5493,112.3448,109.7179,112.221,3691406,3691406,2.4146,2.199,111.3774
48,112.1679,112.2033,109.3553,109.3553,3959932,3959932,-2.8657,-2.554,109.7964
49,108.8335,109.1872,107.834,107.9667,3855303,3855303,-1.3886,-1.27,108.3907
50,108.86,109.4703,108.064,109.0104,3086264,3086264,1.0437,0.967,108.8455
51,109.0988,110.1602,108.0198,109.9125,2747116,2747116,0.902157,0.828,109.1576
52,110.5582,111.478,110.3194,111.478,2826242,2826242,1.5655,1.424,111.0818
53,111.8318,113.5388,111.2923,113.1408,3449510,3449510,1.6628,1.492,112.9018
54,113.2558,113.6007,112.6544,113.0524,2368601,2368601,-0.088448,-0.078,113.1792
55,113.4327,114.211,112.7517,112.8136,5022752,5022752,-0.238805,-0.211,113.7131
56,115.5731,116.3072,114.3879,115.5377,7123426,7123426,2.7242,2.415,115.1949
57,115.3431,115.5289,113.5919,114.8567,4177695,4177695,-0.681039,-0.589,114.6183
58,114.839,114.9805,113.5388,113.7953,2978970,2978970,-1.0614,-0.924,114.0093
59,113.3885,113.9811,111.2658,112.3625,4354586,4354586,-1.4328,-1.259,112.4999
60,112.504,113.7157,111.9114,113.5388,3344129,3344129,1.1763,1.047,113.1871
61,113.2558,114.5383,113.0347,114.1137,2775093,2775093,0.574903,0.506,114.0031
62,113.8661,114.6267,113.4504,113.6184,2807335,2807335,-0.495302,-0.434,114.0378
63,113.8307,115.3343,113.7511,114.9274,3763984,3763984,1.309,1.152,114.9538
64,114.096,117.0855,114.0518,116.7141,4026799,4026799,1.7866,1.555,116.2016
65,116.5283,116.6787,115.5996,115.7146,4032030,4032030,-0.999448,-0.856,117.228
66,116.3106,116.6041,114.9142,115.937,2900669,2900669,0.222386,0.192,115.7027
67,115.7769,116.7553,115.7769,116.1327,2988854,2988854,0.195676,0.169,116.2494
68,115.8569,116.8086,115.519,116.6041,2544165,2544165,0.471398,0.406,116.3411
69,117.2445,118.2851,117.0844,117.9382,3288554,3288554,1.3341,1.144,117.9278
70,118.3029,119.0322,118.1695,118.6942,3132290,3132290,0.756013,0.641,118.7559
71,119.0055,119.1567,118.0183,118.2851,2884647,2884647,-0.409139,-0.345,118.5823
72,118.0272,118.1695,116.1247,116.7019,3597638,3597638,-1.5832,-1.338,116.9842
73,116.7909,117.1466,115.6524,116.3461,2964672,2964672,-0.355773,-0.305,116.3761
74,115.9993,117.4668,115.937,116.8264,2103213,2103213,0.480291,0.413,116.9271
75,116.4618,117.0473,114.7985,115.2521,2996348,2996348,-1.5743,-1.348,115.6295
76,116.0082,116.8976,115.6613,116.4796,2476186,2476186,1.2274,1.065,116.4247
77,117.1021,117.8315,116.7553,117.2622,2370809,2370809,0.782696,0.672,117.4601
78,117.4046,117.9198,117.3423,117.7692,1956559,1956559,0.506976,0.432,119.2144
79,118.374,119.3702,118.1784,119.3346,3086912,3086912,1.5654,1.329,119.0243
80,119.3346,120.2063,119.3346,119.4769,2609712,2609712,0.142312,0.119,119.7608
81,119.8149,120.2507,119.5659,120.1974,2234120,2234120,0.720436,0.603,119.9505
82,119.7793,120.4642,119.219,120.2952,2762624,2762624,0.097837,0.081,120.7622
83,120.5176,120.989,119.8683,120.8733,2630152,2630152,0.578128,0.481,120.5645
84,120.7844,121.4337,120.6243,120.8555,2468882,2468882,-0.017788,-0.015,120.9791
85,120.5531,120.562,119.7082,120.3664,2601922,2601922,-0.489186,-0.405,120.1405
86,120.651,122.187,120.651,121.6916,3493276,3493276,1.3253,1.101,122.0559
87,122.1986,122.9635,121.9584,122.9635,2711659,2711659,1.2719,1.045,122.7399
88,122.9635,123.088,122.2965,122.7055,2585342,2585342,-0.257935,-0.21,122.7047
89,122.3765,122.5188,121.2202,122.0741,2370554,2370554,-0.631495,-0.515,121.7995
90,120.2952,120.5442,119.0233,119.2724,5558856,5558856,-2.8017,-2.295,119.3564
91,119.0589,119.3346,117.0844,117.5735,3831603,3831603,-1.6988,-1.424,117.9703
92,117.876,118.2495,117.0043,117.6625,2376911,2376911,0.088944,0.076,117.603
93,117.5824,118.4096,117.0933,117.8848,2169076,2169076,0.222355,0.189,117.8611
94,117.4935,118.3385,117.1555,117.8048,2223350,2223350,-0.080047,-0.068,117.7907
95,117.9471,118.0005,116.5418,117.8315,2865125,2865125,0.026682,0.023,117.249
96,117.8315,118.2317,117.2267,118.1339,2795278,2795278,0.302409,0.257,117.7962
97,118.7209,119.2546,117.4846,117.4935,8086238,8086238,-0.640391,-0.542,118.2497
98,117.6892,117.876,116.2038,116.3817,4436368,4436368,-1.1118,-0.946,116.5545
99,116.0704,116.7283,114.7363,114.8697,4322064,4322064,-1.512,-1.299,115.7274
100,114.7718,114.8608,112.317,113.0108,7930180,7930180,-1.8589,-1.618,113.2758
101,113.3221,114.2382,112.3873,113.8646,3929845,3929845,0.853849,0.756,113.481
102,113.9091,114.5388,113.4555,114.3271,3688198,3688198,0.462504,0.406,117.1212
103,113.7668,113.7668,112.2459,113.162,5714756,5714756,-1.1652,-1.019,113.1978
104,113.5444,114.1404,113.2776,113.9803,3776278,3776278,0.818275,0.723,113.8621
105,113.9803,114.2916,113.2598,113.5089,2859242,2859242,-0.471397,-0.414,113.5663
106,113.8379,114.3983,113.58,114.3004,1997530,1997530,0.791588,0.697,114.0827
107,113.9358,115.181,113.6423,114.8163,3161772,3161772,0.515869,0.451,114.681
108,114.6384,114.7096,111.9968,112.7706,5725199,5725199,-2.0457,-1.782,112.8086
109,114.1226,114.1315,111.9879,112.7706,8025001,8025001,0,0,112.6945
110,111.6588,113.5178,111.2816,112.7706,3936933,3936933,0,0,112.6887
111,113.1175,114.0603,112.3882,113.9269,3194698,3194698,1.1563,1.025,113.4866
112,114.6562,116.1416,114.5184,115.1988,5271166,5271166,1.2719,1.116,115.3654
113,115.9014,115.9014,114.1492,114.8252,4916677,4916677,-0.37356,-0.324,114.7904
114,115.2343,115.2343,113.0842,113.331,5265197,5265197,-1.4942,-1.301,113.4791
115,113.1442,114.0069,111.8812,111.9613,5296017,5296017,-1.3697,-1.209,112.8697
116,112.406,113.6867,112.2903,113.5266,3107465,3107465,1.5654,1.398,113.1842
117,113.2242,114.2204,112.7528,114.1137,2742998,2742998,0.587022,0.517,113.5548
118,114.7274,115.6346,114.3627,115.3944,5107214,5107214,1.2808,1.122,115.1414
119,113.6601,114.2026,112.0858,112.6995,12326310,12326310,-2.695,-2.335,112.7322
120,111.9968,112.1125,110.2891,110.6449,10307154,10307154,-2.0546,-1.823,110.7864
121,110.7161,110.7605,108.8749,109.5776,6124206,6124206,-1.0673,-0.965,109.6915
122,109.791,110.7872,108.6526,109.4531,4982485,4982485,-0.124522,-0.114,109.267
123,109.6754,109.96,108.6914,108.7949,4101880,4101880,-0.658177,-0.601,109.2175
124,109.5776,110.1112,108.2968,108.7682,4049024,4049024,-0.026685,-0.025,108.7569
125,108.0389,108.5547,107.0961,107.1583,5591290,5591290,-1.6099,-1.48,107.626
126,107.1317,108.2523,106.4112,107.0694,5852726,5852726,-0.088942,-0.083,107.2466
127,107.443,107.7898,106.5268,106.6692,4671123,4671123,-0.400244,-0.374,106.872
128,106.4379,108.4909,106.429,107.861,6098103,6098103,1.1918,1.117,107.735
129,106.7694,106.8051,105.4719,105.8924,6239710,6239710,-1.9686,-1.825,106.1291
130,106.483,107.5747,106.3667,107.2347,4650601,4650601,1.3422,1.268,107.1624
131,107.1989,107.9595,106.7336,107.9416,4349725,4349725,0.706904,0.659,107.3744
132,108.4069,108.9527,108.0489,108.0937,2811028,2811028,0.152118,0.141,108.4421
133,107.8342,108.219,107.3868,107.7984,2304913,2304913,-0.295288,-0.273,107.7705
134,107.9774,109.3733,107.9416,109.1496,2641117,2641117,1.3512,1.253,108.9693
135,109.3464,111.5745,109.3106,111.0555,4825075,4825075,1.906,1.746,111.032
136,111.4045,111.4045,109.3017,110.2054,4573022,4573022,-0.850074,-0.765,110.2972
137,110.5813,112.0667,110.5723,111.834,4201803,4201803,1.6286,1.478,111.7196
138,112.0488,112.5588,111.9503,112.3709,2991557,2991557,0.536888,0.48,112.3769
139,112.6483,114.2769,112.3709,113.9547,4335358,4335358,1.5838,1.409,113.7364
140,114.1247,114.3395,113.4089,114.0889,2524057,2524057,0.134222,0.118,113.9659
141,113.9368,114.3574,113.6057,114.0532,2400949,2400949,-0.035792,-0.031,114.0544
142,114.6079,114.9748,114.335,114.8316,2314353,2314353,0.778488,0.683,114.7171
143,115.1538,115.5475,114.8137,115.0732,2334219,2334219,0.241601,0.21,115.1626
144,115.2254,115.4222,114.4916,114.7153,3079182,3079182,-0.357927,-0.311,114.7769
145,113.9458,114.3126,113.391,113.74,3079399,3079399,-0.975347,-0.85,113.7408
146,113.9547,113.9547,112.7915,113.4626,3032810,3032810,-0.277394,-0.244,113.3032
147,112.4067,112.9794,111.4671,112.2814,4584780,4584780,-1.1812,-1.041,111.967
148,112.2635,112.9615,112.0309,112.693,3966666,3966666,0.411615,0.367,112.5305
149,113.0867,113.4178,112.0846,112.2635,2984001,2984001,-0.429511,-0.381,112.6685
150,112.2367,112.3441,111.0466,111.5745,4917882,4917882,-0.689007,-0.614,111.4135
151,112.6572,114.7601,112.6572,114.5185,6103489,6103489,2.9439,2.639,114.1437
152,114.3663,115.1448,114.1963,114.7243,4866412,4866412,0.205806,0.18,114.7052
153,114.9569,114.9569,114.071,114.7332,3070267,3070267,0.00895,0.008,114.5507
154,114.3753,114.5274,113.8205,114.2142,1988616,1988616,-0.518996,-0.452,114.1292
155,114.08,114.1426,113.2926,113.5968,3109244,3109244,-0.61742,-0.541,113.6443
156,113.5699,113.5968,112.4693,113.0241,3265859,3265859,-0.572683,-0.504,112.7981
157,112.9257,114.2679,112.4962,113.9279,3379618,3379618,0.903763,0.8,113.6567
158,114.7601,114.8764,113.8205,114.3216,3139781,3139781,0.393719,0.346,114.3651
159,114.5363,115.3417,114.5363,115.0553,2722296,2722296,0.733749,0.642,114.9761
160,115.6728,116.0575,115.3596,115.7444,5635667,5635667,0.689009,0.599,115.7182
161,115.7622,116.2097,114.948,115.0822,2890261,2890261,-0.662164,-0.572,115.4081
162,114.7869,115.0195,113.6684,113.9816,2963455,2963455,-1.1006,-0.956,114.1028
163,114.0532,115.2522,113.8473,115.0553,2891440,2891440,1.0738,0.942,114.8361
164,114.8137,114.9745,113.6505,113.7668,2913091,2913091,-1.2885,-1.12,113.9833
165,113.8115,115.4312,113.6057,115.1538,2524326,2524326,1.387,1.219,114.6812
166,113.8294,115.9054,113.6415,115.2254,3490832,3490832,0.071587,0.062,115.0983
167,115.0464,115.7801,113.9189,113.9816,4009907,4009907,-1.2438,-1.079,114.4682
168,113.9726,113.9726,111.2345,111.5566,5272526,5272526,-2.4249,-2.127,111.7791
169,111.315,112.3441,110.8122,111.1092,3207500,3207500,-0.447407,-0.401,111.3461
170,111.5477,113.5252,111.5477,113.0689,3081354,3081354,1.9596,1.764,112.8263
171,113.7221,113.8115,112.1919,112.9794,2680998,2680998,-0.089483,-0.079,113.0939
172,112.3172,112.3172,110.3218,110.3486,3564807,3564807,-2.6308,-2.329,111.1587
173,110.4828,111.9324,109.3017,111.834,3613817,3613817,1.4854,1.346,110.6152
174,111.6014,111.6282,109.4449,109.8475,4874923,4874923,-1.9865,-1.776,110.1273
175,109.9459,110.3844,108.7201,108.7201,4220241,4220241,-1.1275,-1.026,109.3121
176,109.2122,110.2323,107.606,107.7805,3883441,3883441,-0.939559,-0.864,108.8085
177,109.0243,110.3934,108.0221,109.427,3768207,3768207,1.6465,1.528,109.4924
178,108.3263,108.38,104.0849,107.5478,7819029,7819029,-1.8791,-1.717,106.5422
179,106.4025,108.5411,105.9372,107.6373,4492603,4492603,0.089482,0.083,107.4817
180,109.427,110.8408,108.9706,110.277,4872389,4872389,2.6397,2.452,110.1044
