index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,18.6718,18.6888,18.2673,18.3482,60696033,60696033,-0.306513,-1.643,18.3985
2,18.3738,18.5781,18.2205,18.5611,46628558,46628558,0.212855,1.16,18.4469
3,18.4674,18.791,18.3695,18.7143,46307515,46307515,0.153259,0.826,18.6637
4,18.7654,19.2252,18.7058,19.1486,49598524,49598524,0.434225,2.32,19.1013
5,19.1741,19.3444,18.9868,19.3018,54150067,54150067,0.153258,0.8,19.2137
6,19.2763,19.4764,19.2082,19.4381,45305882,45305882,0.136229,0.706,19.4255
7,19.3955,19.4806,19.3018,19.3359,46197556,46197556,-0.102173,-0.526,19.3912
8,19.2507,19.5147,19.1741,19.4551,70052969,70052969,0.119199,0.616,19.4238
9,18.7229,18.9613,18.4547,18.9613,153766718,153766718,-0.493825,-2.538,18.7106
10,18.9216,19.387,18.9017,19.2082,64580952,64580952,0.246915,1.302,19.2198
11,19.1486,19.1911,19.0123,19.0805,31033686,31033686,-0.127717,-0.665,19.1039
12,19.0123,19.2082,18.9187,18.9698,29339087,29339087,-0.110685,-0.58,19.0602
13,18.9357,19.0719,18.8676,18.9868,26215321,26215321,0.017029,0.09,19.0206
14,19.0438,19.1145,18.8421,18.8421,31485147,31485147,-0.144743,-0.762,18.9349
15,18.8931,19.0209,18.7314,18.8335,41861632,41861632,-0.008512,-0.045,18.8633
16,18.8591,18.9187,18.527,18.5951,45400603,45400603,-0.238401,-1.266,18.6791
17,18.5951,18.7484,18.3482,18.6718,43575225,43575225,0.076631,0.412,18.5862
18,18.6292,18.7739,18.6122,18.6633,25804236,25804236,-0.008516,-0.046,18.6802
19,18.7058,18.825,18.4759,18.5611,40870739,40870739,-0.102173,-0.547,18.6274
20,18.3653,18.5781,18.2546,18.3653,37291103,37291103,-0.195826,-1.055,18.3438
21,18.5441,18.6377,18.4759,18.5781,35709590,35709590,0.212855,1.159,18.5781
22,18.6462,18.7739,18.5696,18.6207,28206193,28206193,0.042572,0.229,18.6662
23,18.6292,18.7143,18.5185,18.5781,23573297,23573297,-0.042572,-0.229,18.5771
24,18.6633,18.6803,18.4419,18.5015,33180970,33180970,-0.076626,-0.412,18.5362
25,18.4163,18.5781,18.3908,18.4674,26164042,26164042,-0.034061,-0.184,18.4734
26,18.6122,18.6718,18.3738,18.3993,34645658,34645658,-0.068112,-0.369,18.4797
27,18.3312,18.6633,18.3312,18.5781,31855258,31855258,0.178799,0.972,18.5549
28,18.6377,18.6633,18.3057,18.3227,42144410,42144410,-0.255429,-1.375,18.4256
29,18.3482,18.4334,18.1183,18.1779,38256705,38256705,-0.144827,-0.79,18.2143
30,18.1779,18.4078,18.1098,18.3142,33221895,33221895,0.136314,0.75,18.3197
