index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,68.828,68.9088,67.2923,67.436,9527573,9527573,-1.5806,-2.29,67.4561
2,67.8132,68.1185,66.6098,67.3282,9573497,9573497,-0.107768,-0.16,66.7527
3,67.1127,67.8446,66.4212,67.5887,10093459,10093459,0.260439,0.387,66.7464
4,67.5258,68.4329,67.5079,68.3969,6107248,6107248,0.808261,1.196,68.2267
5,68.4059,68.7921,68.1185,68.6574,6223667,6223667,0.260439,0.381,68.0363
6,68.7562,68.7831,68.1455,68.6215,6343591,6343591,-0.035922,-0.052,68.4844
7,68.6484,69.1423,68.4059,68.8819,6293074,6293074,0.260442,0.38,68.8576
8,69.0705,69.4477,68.855,69.4028,7346941,7346941,0.520879,0.756,69.1181
9,69.4567,69.9285,69.0974,69.6812,6587379,6587379,0.278404,0.401,69.6071
10,69.8249,70.1661,69.4387,69.9865,4754671,4754671,0.305341,0.438,69.8854
11,69.9775,70.1212,69.2142,69.6632,4954868,4954868,-0.323302,-0.462,69.6345
12,69.3758,69.6183,68.6125,68.6574,7768088,7768088,-1.0058,-1.444,68.9033
13,68.7831,69.6542,68.7382,69.5824,5852270,5852270,0.925015,1.347,69.3494
14,69.4746,70.0853,69.4746,69.8159,7765502,7765502,0.233496,0.336,69.8432
15,69.9057,70.2739,69.5644,69.9326,11743785,11743785,0.116747,0.167,69.8881
16,71.5581,72.7436,71.2438,72.7256,13425902,13425902,2.793,3.994,71.9409
17,72.7346,74.2793,72.555,73.3722,9737916,9737916,0.646608,0.889,73.5808
18,73.3363,73.8213,72.3934,73.6147,6041528,6041528,0.24248,0.33,73.4379
19,73.5429,74.6295,73.0938,73.6686,7239956,7239956,0.053884,0.073,73.8336
20,72.5011,73.6685,72.4023,73.6417,8359542,8359542,-0.026942,-0.037,72.9295
21,74.441,74.7194,74.2793,74.423,6368258,6368258,0.781319,1.061,74.5104
22,74.4589,74.7194,74.1581,74.4589,5071030,5071030,0.035923,0.048,74.4474
23,74.3422,74.441,73.8482,74.0099,6174796,6174796,-0.449034,-0.603,74.2342
24,74.1895,74.2434,73.6776,74.1356,5288531,5288531,0.12573,0.17,74.0235
25,74.0368,74.1266,73.3992,73.8033,4139181,4139181,-0.332285,-0.448,73.7237
26,73.7852,73.9297,73.2072,73.424,4667987,4667987,-0.37937,-0.514,73.5016
27,72.9181,73.0265,72.4756,72.7646,7048929,7048929,-0.659363,-0.898,72.677
28,73.2162,73.2162,71.1026,71.1749,7665899,7665899,-1.5897,-2.185,68.7869
29,71.193,72.1504,71.1659,71.6988,6739016,6739016,0.523876,0.736,71.74
30,71.8704,72.4259,71.5814,71.8794,5547699,5547699,0.180647,0.252,71.8619
