index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,147.6413,147.6413,144.8734,145.0244,7187767,7187767,-3.1706,-2.139,144.8691
2,145.5528,145.7373,144.5714,144.974,4351180,4351180,-0.050327,-0.035,144.057
3,144.4288,146.7606,144.4288,146.1483,4714375,4714375,1.1743,0.81,145.4675
4,146.7218,147.4639,146.57,147.3121,4292478,4292478,1.1638,0.796,147.1182
5,148.1302,149.7495,147.6495,149.488,4725647,4725647,2.1759,1.477,146.94
6,149.2519,149.8254,148.6447,149.3953,3544486,3544486,-0.092773,-0.062,149.4656
7,149.117,152.1362,149.1085,151.5543,4654207,4654207,2.159,1.445,151.3929
8,151.4025,152.8615,151.1832,152.0097,3984148,3984148,0.455423,0.301,152.3524
9,150.3061,153.7977,150.0025,153.3591,4482761,4482761,1.3494,0.888,152.7817
10,152.87,155.5435,152.6423,154.9194,4665873,4665873,1.5602,1.017,154.8373
11,154.4892,155.1808,153.7639,154.4977,4435484,4435484,-0.421687,-0.272,154.7188
12,154.1182,156.5724,153.8398,154.2953,4671705,4671705,-0.202412,-0.131,155.1941
13,154.3037,155.906,154.1603,155.4001,4968267,4968267,1.1048,0.716,159.1695
14,155.3917,156.623,154.017,154.1603,5699331,5699331,-1.2398,-0.798,154.9378
15,154.1856,156.1591,154.1856,154.717,4595312,4595312,0.556628,0.361,155.3312
16,154.776,155.6868,154.2362,154.5314,3902332,3902332,-0.185543,-0.12,154.7141
17,155.1302,156.2603,154.8097,155.2314,3740884,3740884,0.699999,0.453,155.639
18,155.0374,156.8254,155.0206,156.2519,3827965,3827965,1.0205,0.657,156.2251
19,156.3447,156.9688,154.8856,156.1676,4668452,4668452,-0.084339,-0.054,156.2263
20,154.6158,155.7206,154.1856,155.4001,3950114,3950114,-0.767469,-0.491,154.0021
21,156.7073,157.8459,156.5977,157.2386,4734235,4734235,1.8386,1.183,157.3601
22,157.3483,158.5121,157.2049,157.829,3487359,3487359,0.590364,0.375,157.9195
23,158.023,158.8832,157.6266,158.2507,3817529,3817529,0.421684,0.267,158.5126
24,158.8495,159.3302,157.8627,158.2844,4117826,4117826,0.033737,0.021,158.6155
25,158.1748,158.8664,156.7402,157.1965,4594054,4594054,-1.0879,-0.687,157.4829
26,158.0567,158.9338,156.9013,157.5085,4229679,4229679,0.312046,0.199,157.7857
27,156.876,158.0905,156.7748,157.0531,4833158,4833158,-0.455424,-0.289,157.2429
28,157.2133,157.7109,154.9362,155.0965,4913208,4913208,-1.9566,-1.246,145.9679
29,155.088,155.4254,153.6712,153.6712,5490326,5490326,-1.4253,-0.919,154.4105
30,154.0507,157.1627,154.0507,156.7073,4938754,4938754,3.0361,1.976,156.4038
31,156.8591,158.47,156.4796,157.5507,3961319,3961319,0.843371,0.538,157.7634
32,156.5302,157.4579,154.7592,155.7796,4323930,4323930,-1.7711,-1.124,152.7062
33,155.5772,158.7736,155.3242,158.47,5062629,5062629,2.6904,1.727,157.7254
34,158.976,159.1447,157.2049,157.4326,12535281,12535281,-1.0373,-0.655,153.5608
35,158.0736,159.7688,158.023,158.7652,5738492,5738492,1.3325,0.846,158.865
36,159.1953,164.7911,159.1447,164.4917,10912699,10912699,5.7265,3.607,162.9966
37,164.4411,164.9892,161.8941,162.4507,6851772,6851772,-2.041,-1.241,162.7647
38,161.8519,162.4929,159.6692,160.0977,6767653,6767653,-2.353,-1.448,159.6483
39,160.1905,162.4507,159.4905,160.6206,5194443,5194443,0.52289,0.327,161.026
40,161.6242,163.4206,161.4218,162.3411,8537746,8537746,1.7205,1.071,162.5338
41,162.8724,164.5676,162.5856,164.0362,5395346,5395346,1.6952,1.044,163.8431
42,163.817,164.0362,162.3411,163.235,4924073,4924073,-0.801206,-0.488,167.9897
43,162.9399,163.0917,162.223,162.5097,4091060,4091060,-0.725304,-0.444,162.6422
44,162.8724,163.5892,161.3206,161.7338,6090863,6090863,-0.775903,-0.477,162.4992
45,161.6917,164.7185,161.5652,164.0531,6747080,6747080,2.3193,1.434,163.6594
46,163.5218,163.7558,162.5096,163.0158,5125001,5125001,-1.0374,-0.632,163.1218
47,163.5133,166.1447,163.2772,165.8411,5485124,5485124,2.8253,1.733,164.9302
48,165.3519,168.0085,165.0146,165.0314,8425601,8425601,-0.809641,-0.488,166.3881
49,164.4917,166.1447,163.8423,164.6182,4835214,4835214,-0.413252,-0.25,166.0042
50,165.5037,167.1905,165.2001,166.7941,5433621,5433621,2.1759,1.322,166.5587
51,165.2844,166.4905,164.8121,166.1615,5353177,5353177,-0.632531,-0.379,165.8144
52,167.0302,167.5868,164.4579,165.6387,8527295,8527295,-0.522892,-0.315,165.3322
53,157.9218,160.8314,157.7194,160.2495,11255493,11255493,-5.3892,-3.254,160.2541
54,160.0724,162.6067,160.0218,162.1555,5425283,5425283,1.906,1.189,161.9862
55,161.9362,162.7712,161.2531,162.0543,3878619,3878619,-0.101204,-0.062,162.0345
56,161.7507,162.2736,160.3338,161.7001,4736919,4736919,-0.354219,-0.219,161.313
57,162.1133,162.1133,160.2664,160.4266,4407352,4407352,-1.2735,-0.788,160.9026
58,160.6965,160.8061,159.4905,159.929,3871407,3871407,-0.497589,-0.31,160.3658
59,161.2025,163.6061,160.7302,162.8893,5638334,5638334,2.9602,1.851,162.7813
60,163.2688,165.2507,163.117,164.5507,4626352,4626352,1.6614,1.02,164.6132
61,163.935,166.0266,163.9097,165.6977,4211284,4211284,1.147,0.697,165.4978
62,165.5627,165.9254,162.8977,163.2182,3675823,3675823,-2.4795,-1.496,163.7644
63,163.4037,163.4796,161.2953,161.4555,3052953,3052953,-1.7627,-1.08,161.864
64,161.1266,161.4977,160.0724,161.3037,2222168,2222168,-0.151807,-0.094,160.9475
65,161.0254,161.0423,159.6085,160.2664,3188706,3188706,-1.0374,-0.643,163.2112
66,160.6142,161.4286,158.5699,160.5803,3821023,3821023,0.313936,0.196,160.3147
67,160.4615,161.6576,159.6726,160.2495,2431945,2431945,-0.33083,-0.206,160.4311
68,160.3088,161.6707,159.7914,161.242,2261739,2261739,0.992493,0.619,161.2452
69,162.1242,163.7359,161.9715,163.3542,3778611,3778611,2.1122,1.31,163.2149
70,163.5408,163.7444,162.6671,163.0318,2226997,2226997,-0.322349,-0.197,163.1503
71,162.7943,162.8622,159.6217,160.0883,5255970,5255970,-2.9436,-1.806,160.6077
72,160.3852,160.3937,157.9336,158.1712,4202556,4202556,-1.9171,-1.198,158.7935
73,158.01,158.977,157.7216,158.6801,3949644,3949644,0.50897,0.322,158.3117
74,158.2984,158.7395,157.8149,158.6292,3270670,3270670,-0.050897,-0.032,158.3941
