index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,21.171,21.1796,20.6438,20.6957,52928170,52928170,-0.509828,-2.404,20.876
2,20.7303,20.7691,20.376,20.5834,50888089,50888089,-0.112336,-0.543,20.5756
3,20.675,20.7273,20.5005,20.5179,32484587,32484587,-0.065424,-0.318,20.6871
4,20.5877,21.0065,20.5441,20.9279,28049363,28049363,0.410009,1.998,20.8851
5,21.1111,21.1635,20.736,21.1155,30885856,30885856,0.18756,0.896,20.9972
6,21.0326,21.2594,20.989,21.1897,24571791,24571791,0.074149,0.351,21.1424
7,21.242,21.3859,21.2245,21.3467,17947958,17947958,0.157026,0.741,21.3278
8,21.3816,21.5386,21.2594,21.4165,25925263,25925263,0.069788,0.327,21.4201
9,21.3118,21.5822,21.2071,21.5473,22940043,22940043,0.130854,0.611,21.4661
10,21.4383,21.5997,21.2943,21.5953,20592672,20592672,0.047977,0.223,21.4925
11,21.5211,21.6171,21.4165,21.5997,17749250,17749250,0.004365,0.02,21.5579
12,21.5037,21.5648,21.3031,21.3728,25743616,25743616,-0.226815,-1.05,21.4277
13,21.4077,21.6782,21.3728,21.5822,20230664,20230664,0.209367,0.98,21.5855
14,21.7654,21.7741,21.242,21.3031,30617671,30617671,-0.279155,-1.293,21.4416
15,21.3816,21.7043,21.2943,21.4863,24173569,24173569,0.183193,0.86,21.5632
16,21.5211,21.556,21.338,21.4775,21613463,21613463,-0.008721,-0.041,21.4318
17,21.5822,21.7916,21.4688,21.6346,19820163,19820163,0.157025,0.731,21.6842
18,21.6346,21.6346,21.3816,21.5997,20866873,20866873,-0.034894,-0.161,21.4979
19,21.6258,21.6738,21.4339,21.5997,23483725,23483725,0,0,21.575
20,21.4165,21.4514,21.1984,21.3728,25727231,25727231,-0.226815,-1.05,21.3336
21,21.5648,21.6171,21.3728,21.4688,23714667,23714667,0.095959,0.449,21.4708
22,21.5473,21.556,21.2856,21.3728,21071351,21071351,-0.095959,-0.447,21.3955
23,21.4339,21.5037,21.2682,21.4863,22416271,22416271,0.113405,0.531,21.4123
24,21.5473,21.6783,21.4339,21.495,25380925,25380925,0.008727,0.041,21.547
