index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,77.3998,77.4259,75.5335,75.6817,13950813,13950813,-1.4739,-1.91,75.8952
2,75.8125,76.1178,75.08,75.5422,11438774,11438774,-0.139535,-0.184,75.6559
3,75.4288,76.4579,75.4201,76.1178,10678430,10678430,0.575592,0.762,75.5585
4,76.423,77.4085,76.3532,77.3998,10038015,10038015,1.282,1.684,77.0744
5,77.548,78.5248,77.2777,78.5248,9526254,9526254,1.125,1.454,76.3718
6,78.6992,79.4318,78.3155,79.4231,8080445,8080445,0.898275,1.144,79.2804
7,79.4405,81.0801,79.3184,81.0801,11581143,11581143,1.657,2.086,80.6241
8,81.0626,81.0975,80.1905,80.6004,7699343,7699343,-0.479658,-0.592,80.5788
9,80.2341,80.7748,79.9812,80.7225,5926351,5926351,0.122094,0.151,80.4739
10,80.7574,81.0583,80.2587,80.8969,5524615,5524615,0.174422,0.216,80.7878
11,80.9056,80.9754,80.3126,80.3824,6935397,6935397,-0.514545,-0.636,80.4882
12,80.3649,80.8882,79.8591,79.9202,7693621,7693621,-0.462217,-0.575,80.2197
13,79.9638,80.8708,79.6324,80.5655,8160140,8160140,0.64536,0.808,80.7361
14,80.6885,81.0266,80.3283,80.3898,7381439,7381439,-0.17571,-0.218,80.6388
15,80.3283,80.8641,80.0209,80.0297,8407203,8407203,-0.360139,-0.448,80.2961
16,80.4513,80.6973,79.6344,80.0297,6387063,6387063,0,0,80.0189
17,80.0297,80.4074,79.731,80.0297,6334213,6334213,0,0,79.9972
18,80.0736,80.302,79.7135,80.2493,7040593,7040593,0.219596,0.274,80.1532
19,80.302,81.3736,79.9858,80.9168,9644505,9644505,0.667575,0.832,80.8267
20,80.0472,80.7939,79.7837,80.4249,7506726,7506726,-0.491897,-0.608,80.081
21,81.2243,82.0939,81.031,81.9885,8796989,8796989,1.5635,1.944,81.7532
22,81.927,81.9533,81.1452,81.3297,6843672,6843672,-0.65879,-0.804,81.8638
