index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,32.354,32.354,31.5711,31.6562,23195836,23195836,-0.527601,-1.639,31.7063
2,31.8604,31.954,31.6647,31.8944,17797978,17797978,0.238271,0.753,31.6934
3,31.9029,32.0944,31.8093,32.0051,13716618,13716618,0.110625,0.347,31.8242
4,32.9837,33.1369,32.2689,32.3625,22665049,22665049,0.357409,1.117,32.4627
5,32.4816,32.6348,32.2263,32.2944,20495016,20495016,-0.06808,-0.21,32.1807
6,32.3965,32.8645,32.2008,32.822,20915498,20915498,0.527605,1.634,32.9867
7,32.9071,33.005,32.7709,32.8816,15417558,15417558,0.059567,0.181,32.8901
8,33.0603,33.1198,32.6773,32.7709,10633637,10633637,-0.110624,-0.336,32.8174
9,32.4476,32.9827,32.4476,32.8901,10449553,10449553,0.119136,0.364,32.8515
10,32.8475,33.2049,32.5667,33.1283,16047482,16047482,0.23827,0.724,32.982
11,32.3199,32.4305,31.7072,31.8859,46195701,46195701,-1.2424,-3.75,31.9054
12,31.9115,31.9966,31.5285,31.5711,26650629,26650629,-0.314854,-0.987,31.7039
13,31.537,31.9285,31.3924,31.7413,22652321,22652321,0.170189,0.539,31.7209
14,31.988,32.0136,31.6051,31.6391,19440449,19440449,-0.102117,-0.322,31.7846
15,31.7413,31.9966,31.6732,31.9115,24225051,24225051,0.272313,0.861,31.909
16,32.0221,32.2859,31.9115,32.1412,22879234,22879234,0.22976,0.72,32.1522
17,32.2518,32.2859,32.0987,32.2263,18202510,18202510,0.0851,0.265,32.2178
18,32.2008,32.4305,32.1667,32.3965,18441483,18441483,0.170195,0.528,32.3478
19,32.405,32.6646,32.371,32.5071,15765571,15765571,0.110625,0.341,32.5385
20,32.2348,32.4731,32.2093,32.4391,18684354,18684354,-0.068078,-0.209,32.3001
21,32.6263,32.668,32.5327,32.6007,20456788,20456788,0.161683,0.498,32.5933
22,32.6943,32.7199,32.5497,32.6348,14367749,14367749,0.03404,0.104,32.6195
23,32.6773,32.8051,32.5667,32.7369,14740674,14740674,0.102118,0.313,32.7338
24,32.8135,32.856,32.6433,32.805,17074233,17074233,0.068077,0.208,32.7607
25,32.805,32.8901,32.7114,32.8901,14541439,14541439,0.085098,0.259,32.8281
26,33.0518,33.0518,32.7965,33.0177,13845663,13845663,0.127643,0.388,32.9607
27,32.8247,33.022,32.7733,32.9963,15692277,15692277,-0.021434,-0.065,32.9206
28,32.9791,33.0134,32.5254,32.5674,18302808,18302808,-0.428861,-1.3,31.7105
29,32.5503,32.8676,32.4902,32.739,14687231,14687231,0.171544,0.527,33.1947
30,32.739,32.9105,32.636,32.8247,19202973,19202973,0.085772,0.262,32.8257
31,32.8247,32.9877,32.7089,32.9362,16880363,16880363,0.111501,0.34,32.8953
32,32.9019,33.0949,32.6789,32.7132,20882157,20882157,-0.223004,-0.677,32.7062
33,32.6875,32.9963,32.5503,32.9791,13227981,13227981,0.265893,0.813,32.8367
34,33.2622,33.3051,32.8333,32.9706,19210757,19210757,-0.008578,-0.026,32.0043
35,33.0049,33.052,32.769,32.9362,15693042,15693042,-0.034311,-0.104,32.9195
36,33.0134,33.2793,32.9877,33.1249,16898937,16898937,0.188699,0.573,33.1767
37,33.185,33.3994,33.1164,33.1164,15835535,15835535,-0.008577,-0.026,33.2074
38,33.0306,33.4509,33.0049,33.2965,13031474,13031474,0.18012,0.544,33.0984
39,33.3565,33.4766,33.2965,33.408,11502051,11502051,0.111503,0.335,33.3909
40,33.4423,33.4766,32.9877,33.1592,24489838,24489838,-0.248736,-0.745,33.2186
41,33.0477,33.3565,32.8632,32.9448,20516452,20516452,-0.214428,-0.647,33.0803
42,33.0134,33.0563,32.8505,32.8762,15708927,15708927,-0.068619,-0.208,32.9221
43,32.9277,33.0134,32.6275,32.6532,18113991,18113991,-0.223006,-0.678,32.7106
44,32.799,33.0049,32.7132,32.7819,15453554,15453554,0.128659,0.394,32.8548
45,32.8247,33.3565,32.8162,33.1249,17295654,17295654,0.343084,1.047,33.1549
46,33.1678,33.3651,33.0049,33.3651,14770515,14770515,0.240161,0.725,33.2644
47,33.3136,33.4423,33.1936,33.4423,12031360,12031360,0.077193,0.231,33.3442
48,33.4337,33.794,33.2965,33.3565,21025736,21025736,-0.085771,-0.256,33.4374
49,33.3051,33.6396,33.0821,33.1335,18085746,18085746,-0.223005,-0.669,33.2232
50,33.2021,33.2793,32.9362,33.2193,19389800,19389800,0.08577,0.259,33.1567
51,34.1628,34.7117,33.8797,34.463,47529158,47529158,1.2437,3.744,34.4105
52,34.4115,34.8146,34.4115,34.8146,21926145,21926145,0.351665,1.02,34.6801
53,34.6774,34.9261,34.523,34.9261,18547111,18547111,0.1115,0.32,34.7653
54,34.7117,34.9604,34.6088,34.9519,12630881,12630881,0.025733,0.074,34.8589
55,34.8061,34.9604,34.6688,34.9176,17405459,17405459,-0.034309,-0.098,34.8761
56,34.909,35.0033,34.7889,34.9347,12072454,12072454,0.017154,0.049,34.9179
57,34.909,35.072,34.7031,34.909,11401621,11401621,-0.025732,-0.074,34.9338
58,34.7031,35.1749,34.686,35.1749,16811384,16811384,0.265892,0.762,34.955
59,35.0119,35.4065,34.9433,35.192,20736717,20736717,0.017155,0.049,35.215
60,35.1406,35.192,34.7546,34.7975,18928395,18928395,-0.394548,-1.121,34.9064
61,34.9004,35.0634,34.8146,34.9862,12361992,12361992,0.188695,0.542,34.9566
62,34.9862,34.9948,34.5316,34.9776,15385753,15385753,-0.008576,-0.025,34.7687
63,34.9862,35.132,34.8489,35.1234,14197753,14197753,0.145811,0.417,35.0099
64,34.8661,35.1063,34.7803,34.9604,10164164,10164164,-0.162964,-0.464,34.9441
65,34.7546,34.8747,34.6946,34.7289,9359857,9359857,-0.231582,-0.662,35.6157
66,34.909,35.1406,34.8489,35.0891,11115932,11115932,0.36024,1.037,35.0447
67,35.0376,35.132,34.8661,34.9347,8538993,8538993,-0.154391,-0.44,34.9706
68,34.9776,35.1234,34.9176,35.0548,8516358,8516358,0.120081,0.344,35.0275
69,35.0634,35.1406,34.9004,35.0119,8906010,8906010,-0.042886,-0.122,35.0091
70,35.0205,35.355,35.0119,35.2606,11579715,11579715,0.248737,0.71,35.2893
71,35.1835,35.3164,35.0205,35.072,10036175,10036175,-0.188697,-0.535,35.1596
72,34.8404,35.132,34.686,34.7546,12379234,12379234,-0.317354,-0.905,34.9342
73,34.7546,35.0891,34.6946,35.072,13824170,13824170,0.317354,0.913,34.989
74,34.8232,34.9347,34.6688,34.9176,7559456,7559456,-0.154389,-0.44,34.8411
75,34.9948,35.1063,34.7975,34.8061,9640511,9640511,-0.111504,-0.319,34.9263
76,34.7803,35.0634,34.7374,35.0548,8607297,8607297,0.248739,0.715,35.1296
77,34.969,35.0291,34.7632,34.8061,8430681,8430681,-0.248739,-0.71,34.8435
78,34.8489,34.9089,34.7632,34.8061,6255168,6255168,0,0,34.8238
79,34.7889,35.0119,34.7203,34.969,11291392,11291392,0.162968,0.468,34.8915
80,34.909,35.0677,34.7632,34.8061,7536671,7536671,-0.162968,-0.466,34.856
81,34.8918,35.0548,34.8232,34.8747,9867262,9867262,0.068617,0.197,34.9004
82,34.7718,35.102,34.7289,35.0891,10446099,10446099,0.214432,0.615,35.0097
83,34.9519,35.072,34.8918,35.0462,7472050,7472050,-0.042887,-0.122,34.9984
84,34.9261,35.1663,34.9176,35.0634,10493219,10493219,0.017154,0.049,35.101
85,35.0891,35.0977,34.9176,34.9862,7864666,7864666,-0.077196,-0.22,34.9944
86,34.9347,35.1663,34.8489,35.072,10133496,10133496,0.085773,0.245,35.0832
87,35.1148,35.2178,35.0291,35.1577,8760639,8760639,0.085772,0.245,35.1365
88,35.0376,35.2435,35.0376,35.0891,7316402,7316402,-0.068616,-0.195,35.1655
89,35.0291,35.295,35.0033,35.2263,9169620,9169620,0.137232,0.391,35.1967
90,35.1491,35.2135,34.9862,35.0462,9648619,9648619,-0.180119,-0.511,35.0829
91,34.9209,35.1543,34.8864,34.9296,11583569,11583569,-0.116645,-0.333,35.0143
92,34.9036,35.029,34.7827,34.8864,9203771,9203771,-0.04321,-0.124,34.8779
93,34.7308,35.232,34.6962,35.137,12878160,12878160,0.250609,0.718,35.1114
94,35.5863,35.6036,35.0938,35.3617,26927159,26927159,0.224683,0.639,35.3656
95,35.2493,35.9234,35.2148,35.9147,18518178,18518178,0.553068,1.564,35.6555
96,35.8974,36.1826,35.8888,36.1135,13275256,13275256,0.198757,0.553,36.0642
97,36.1826,36.1869,35.8888,36.0271,23403271,23403271,-0.086417,-0.239,36.094
98,35.8283,36.0703,35.716,36.0616,13099754,13099754,0.034567,0.096,35.9851
99,35.8802,36.1999,35.8369,36.1653,14962791,14962791,0.1037,0.288,36.0959
100,35.9493,36.2777,35.8283,36.2604,17621843,17621843,0.095059,0.263,36.1285
101,36.2172,36.3382,36.1048,36.3209,16905479,16905479,0.060493,0.167,36.227
102,36.2863,36.5456,36.2172,36.4591,18674412,18674412,0.138264,0.381,37.1733
103,36.2777,36.7184,36.1394,36.6061,14068762,14068762,0.14691,0.403,36.6841
104,36.632,36.6838,36.4246,36.5456,11497697,11497697,-0.060493,-0.165,36.5599
105,36.5628,36.6493,36.4246,36.5456,6707175,6707175,0,0,36.5239
106,36.5196,36.5715,36.3036,36.4937,7537718,7537718,-0.051851,-0.142,36.4439
107,36.2604,36.4678,36.2345,36.4159,9000085,9000085,-0.077776,-0.213,36.3977
108,36.269,36.511,36.2172,36.2431,10091147,10091147,-0.172832,-0.475,36.333
109,36.2345,36.4332,36.1135,36.2517,9900209,9900209,0.008641,0.024,36.2408
110,35.9147,36.5456,35.9061,36.5196,12564494,12564494,0.267892,0.739,36.4044
111,36.3987,36.511,36.1921,36.269,9772958,9772958,-0.250607,-0.686,36.3018
112,36.2863,36.632,36.2777,36.6233,11857698,11857698,0.354305,0.977,36.5259
113,36.6493,36.6665,36.2517,36.3814,10551682,10551682,-0.241963,-0.661,36.4087
114,36.5196,36.632,36.3122,36.3987,10331524,10331524,0.017282,0.048,36.4039
115,36.2345,36.4246,36.148,36.3122,9983505,9983505,-0.086417,-0.237,36.2969
116,36.4159,36.7011,36.3123,36.6665,19272396,19272396,0.354309,0.976,36.5855
117,36.3987,36.7875,36.3727,36.6406,17607218,17607218,-0.025928,-0.071,36.6093
118,35.5172,35.716,35.0938,35.595,24707572,24707572,-1.0456,-2.854,35.5191
119,35.4135,35.474,35.111,35.2666,17531713,17531713,-0.328382,-0.923,35.3138
120,35.4049,35.5172,35.137,35.4049,14856012,14856012,0.138266,0.392,35.3571
121,35.3617,35.4654,35.2666,35.4308,10809949,10809949,0.025928,0.073,35.3776
122,35.4221,35.4308,35.0938,35.1543,11709721,11709721,-0.276536,-0.78,35.1889
123,35.2148,35.2407,34.8691,34.8691,10872629,10872629,-0.285174,-0.811,35.0207
124,34.9555,34.9987,34.2296,34.2382,20346235,20346235,-0.63084,-1.809,34.3739
125,34.1605,34.3333,33.9185,33.9531,15436851,15436851,-0.285175,-0.833,34.0961
126,34.0568,34.1,33.8018,34.0481,11012915,11012915,0.095057,0.28,33.9803
127,34.0568,34.1,33.8018,34.0481,11013475,11013475,0,0,33.9803
128,33.9963,34.1605,33.7889,33.858,11639154,11639154,-0.190117,-0.558,33.9281
129,33.8148,34.5321,33.8148,34.4975,17567544,17567544,0.639484,1.889,34.4043
130,34.5321,34.5753,33.9876,34.0049,14367594,14367594,-0.492575,-1.428,34.1712
131,33.9963,34.1994,33.9271,34.0913,13666969,13666969,0.086418,0.254,34.0783
132,34.1518,34.4543,34.1518,34.195,14102644,14102644,0.103697,0.304,34.3029
133,34.1864,34.4284,34.1691,34.2901,13297538,13297538,0.095058,0.278,34.3383
134,34.3074,34.653,34.3074,34.5148,9638888,9638888,0.224684,0.655,34.5116
135,34.5061,34.7308,34.5061,34.7222,6902023,6902023,0.207401,0.601,34.66
136,35.3012,35.5604,35.137,35.3271,23221550,23221550,0.604918,1.742,35.341
137,35.2493,35.7937,35.2493,35.7332,14892233,14892233,0.406154,1.15,35.654
138,35.7332,35.8456,35.5691,35.6555,10261305,10261305,-0.077774,-0.218,35.7271
139,35.5604,35.7246,35.5086,35.6468,6791695,6791695,-0.008643,-0.024,35.6076
140,35.6814,36.0271,35.6209,35.7851,11951213,11951213,0.138266,0.388,35.9096
141,35.6814,35.8802,35.474,35.5345,11244643,11244643,-0.250607,-0.7,35.6392
142,35.7073,35.8153,35.5345,35.7851,10229332,10229332,0.250607,0.705,35.7381
143,35.7851,36.0357,35.7851,35.9493,8416524,8416524,0.164195,0.459,35.939
144,35.8888,36.0443,35.811,35.9493,7701957,7701957,0,0,35.922
145,35.8715,36.0357,35.811,35.9752,9747093,9747093,0.025922,0.072,35.9024
146,35.9493,36.0789,35.8369,36.053,7666718,7666718,0.077778,0.216,35.9851
147,35.8802,36.1567,35.6987,35.9839,9798704,9798704,-0.069134,-0.192,35.9577
148,36.0271,36.1653,36.0011,36.1048,8644484,8644484,0.120983,0.336,36.0882
149,36.1221,36.4419,36.0638,36.1826,16785311,16785311,0.077774,0.215,36.2739
150,36.174,36.174,35.9579,36.1567,12768144,12768144,-0.025925,-0.072,36.091
151,36.0098,36.2431,35.9752,36.1048,9097707,9097707,-0.051849,-0.143,36.1357
152,36.0962,36.3209,36.0789,36.2431,11892490,11892490,0.138266,0.383,36.2194
153,36.2085,36.4591,36.148,36.4419,17558019,17558019,0.198759,0.548,36.3919
154,36.2808,36.6116,36.2634,36.5159,19615854,19615854,0.074002,0.203,36.5436
155,36.4723,36.4898,36.0023,36.0893,12979948,12979948,-0.426526,-1.168,36.1807
156,36.0806,36.1938,35.9762,36.1242,12259597,12259597,0.034818,0.096,36.1077
157,35.9414,36.3809,35.8456,36.246,15232844,15232844,0.121866,0.337,36.1605
158,36.3592,36.3679,35.9631,36.2199,16703094,16703094,-0.026116,-0.072,36.1857
159,36.3418,36.4549,36.1677,36.3766,12594172,12594172,0.156684,0.433,36.3214
160,36.542,36.8597,36.3418,36.6029,47559738,47559738,0.226321,0.622,36.6406
161,36.4288,36.777,36.3244,36.7509,11518108,11518108,0.14798,0.404,36.6614
162,36.5594,36.6987,36.4549,36.4636,10252374,10252374,-0.287254,-0.782,36.5775
163,36.4288,36.8553,36.4288,36.7944,13540935,13540935,0.330775,0.907,36.7622
164,36.6116,36.7074,36.3592,36.3679,11076728,11076728,-0.426526,-1.159,36.4967
165,36.5594,36.777,36.307,36.7335,9939569,9939569,0.365593,1.005,36.5863
166,36.4723,36.7857,36.4549,36.777,12446707,12446707,0.043524,0.118,36.6564
167,36.6464,37.2645,36.629,37.1339,22613730,22613730,0.356888,0.97,37.0351
168,37.0381,37.2993,36.8815,37.2035,30409720,30409720,0.069638,0.188,37.1129
169,37.0817,37.2375,36.925,37.1339,16643440,16643440,-0.069638,-0.187,37.1162
170,37.308,37.4908,37.1339,37.4299,14046676,14046676,0.295958,0.797,37.3723
171,37.456,38.0218,37.4037,37.9521,20331446,20331446,0.522277,1.395,37.7402
172,37.8477,38.4222,37.8477,38.2307,24936592,24936592,0.278547,0.734,38.219
173,37.9347,38.7878,37.8738,38.7791,26115610,26115610,0.548392,1.434,38.3657
174,38.6833,38.9532,38.1872,38.1872,25030528,25030528,-0.591915,-1.526,38.5863
175,38.1959,39.0576,38.1697,38.7094,25920757,25920757,0.522276,1.368,38.7793
176,38.544,38.8487,38.3264,38.3612,20183940,20183940,-0.348182,-0.899,38.6042
177,38.3351,38.4048,37.839,37.9869,21027832,21027832,-0.3743,-0.976,38.0946
