index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,81.4805,81.6528,80.0756,80.1704,6908865,6908865,-0.991143,-1.221,80.1714
2,80.0325,80.5583,79.7998,80.2308,6531117,6531117,0.06033,0.075,79.4765
3,79.9808,80.8772,79.4809,80.6531,4958957,4958957,0.422314,0.526,80.0641
4,80.903,82.0407,80.7479,81.8252,5361338,5361338,1.1721,1.453,81.7222
5,81.9545,82.6957,81.5494,82.6698,6610561,6610561,0.844623,1.032,80.8799
6,82.5233,82.6785,81.4632,81.7563,6975657,6975657,-0.913575,-1.105,81.8851
7,81.9286,82.6009,81.7304,82.17,5365373,5365373,0.413695,0.506,82.2532
8,82.2561,82.4544,81.6959,81.7821,4269118,4269118,-0.38784,-0.472,81.9439
9,81.6097,82.3768,81.446,82.2734,3618018,3618018,0.491261,0.601,82.1543
10,82.1355,82.7129,81.9683,82.5492,3537846,3537846,0.275796,0.335,82.4679
11,82.7646,83.23,82.3423,82.756,5458110,5458110,0.206847,0.251,82.8727
12,82.5492,83.3076,82.2734,82.3509,4505475,4505475,-0.405076,-0.489,82.6311
13,82.4458,82.8336,82.2949,82.5233,2975158,2975158,0.172376,0.209,82.6172
14,82.7733,83.6006,82.7733,83.1266,5289923,5289923,0.603303,0.731,83.3047
15,83.1094,83.5489,82.9456,83.1697,4487632,4487632,0.043093,0.052,83.2842
16,83.1352,83.3593,82.644,83.2731,4233964,4233964,0.103423,0.124,83.1425
17,83.2818,83.3766,82.4888,82.644,4265938,4265938,-0.629161,-0.756,82.8632
18,82.783,82.9308,82.2702,82.644,4183929,4183929,-0.000014,0,82.527
19,82.67,82.9743,82.4519,82.7048,5108016,5108016,0.060844,0.074,82.7188
20,81.9138,82.4006,81.7052,81.9834,5149263,5149263,-0.721439,-0.872,81.7166
21,82.7917,82.8091,82.4527,82.557,4655238,4655238,0.573675,0.7,82.5672
22,82.87,83.1046,82.5223,82.5918,3913441,3913441,0.034769,0.042,82.7047
23,82.6266,83.1568,82.3571,83.0786,4363227,4363227,0.486755,0.589,82.8654
24,83.2176,83.2611,82.5484,83.009,3726306,3726306,-0.06954,-0.084,82.8195
25,82.8004,83.1655,82.5484,82.7483,4395086,4395086,-0.26076,-0.314,82.8163
26,83.3915,85.9817,83.1916,85.86,16375774,16375774,3.1118,3.761,85.279
27,85.5384,86.1121,85.3124,85.7992,6702123,6702123,-0.060843,-0.071,85.6983
28,85.9643,85.9643,84.3215,84.6344,5480267,5480267,-1.1647,-1.358,81.0356
29,84.5997,85.0864,84.3215,84.817,5510673,5510673,0.182533,0.216,84.7615
30,85.3037,85.3559,84.7127,84.8344,5554918,5554918,0.017384,0.02,84.9358
31,85.0082,85.1734,84.5041,84.5823,3269489,3269489,-0.252068,-0.297,84.6765
32,84.5475,84.5649,83.2524,83.5306,5556948,5556948,-1.0517,-1.243,81.9564
33,83.3915,84.2694,83.2785,83.9652,4242571,4242571,0.434603,0.52,84.0087
34,84.5041,84.6605,82.983,82.983,12640611,12640611,-0.982201,-1.17,77.0048
35,83.5219,84.0868,83.4349,83.6001,6401178,6401178,0.617133,0.744,83.7244
36,83.8261,83.8695,83.2959,83.3654,4929902,4929902,-0.234684,-0.281,83.4876
37,83.4784,83.9347,83.3046,83.3046,4126987,4126987,-0.060845,-0.073,83.4318
38,83.2437,83.7565,83.0264,83.5827,3755967,3755967,0.278145,0.334,83.2196
39,83.6783,84.6953,83.6262,84.5214,4344100,4344100,0.938742,1.123,84.3346
40,84.6953,85.5732,84.5736,85.2081,4853293,4853293,0.686671,0.812,85.218
41,85.269,85.634,84.8604,85.0951,4493973,4493973,-0.112997,-0.133,85.1867
42,85.3124,85.382,84.6085,84.8257,3701174,3701174,-0.269453,-0.317,84.8876
43,85.2081,85.2777,84.6171,84.8865,2576064,2576064,0.060846,0.072,84.8724
44,84.9821,85.5471,84.6518,85.069,5413601,5413601,0.182533,0.215,85.1307
45,84.817,85.3907,83.9391,84.3215,6000476,6000476,-0.747517,-0.879,84.5377
46,84.2955,85.3733,83.8987,85.2516,5585144,5585144,0.930048,1.103,84.8503
47,85.2516,85.6514,85.0951,85.4863,3669495,3669495,0.234686,0.275,85.413
48,85.6601,86.7901,85.3211,86.425,8874797,8874797,0.938741,1.098,86.2777
49,86.1816,86.6858,86.1034,86.3033,6553636,6553636,-0.121689,-0.141,86.324
50,86.6249,87.0595,86.3294,87.0161,6155873,6155873,0.712747,0.826,86.7515
51,87.5289,87.7375,86.9813,87.6419,5886192,5886192,0.625827,0.719,87.5068
52,87.7897,87.894,87.3427,87.6419,3532731,3532731,0,0,87.683
53,87.555,87.7897,87.1378,87.1378,4545196,4545196,-0.504136,-0.575,87.3951
54,86.7466,87.2594,86.2685,86.6336,6358323,6358323,-0.504137,-0.579,90.2312
55,86.9378,87.1551,85.9556,86.3294,8934500,8934500,-0.304225,-0.351,86.5324
56,86.3555,86.9118,86.0599,86.1642,4179128,4179128,-0.165149,-0.191,86.3648
57,86.5032,87.0074,86.1642,86.7814,4765762,4765762,0.617135,0.716,86.7351
58,86.7901,87.5724,86.3859,87.555,5048938,5048938,0.773592,0.891,87.2655
59,87.7723,87.9461,86.6162,87.1899,7444635,7444635,-0.365064,-0.417,87.1422
60,87.103,88.4676,86.7553,88.2243,6630910,6630910,1.0344,1.186,88.0256
61,88.2677,88.4503,87.8244,88.12,4524399,4524399,-0.104304,-0.118,88.097
62,87.5115,87.8244,87.2111,87.7549,3531410,3531410,-0.365065,-0.414,87.5272
63,87.8853,88.8979,87.781,88.1634,4934023,4934023,0.408527,0.466,88.239
64,88.12,88.12,87.4333,87.9113,3483458,3483458,-0.252071,-0.286,87.8093
65,87.8418,88.0461,87.6158,87.7462,3075103,3075103,-0.165149,-0.188,89.5124
66,88.0156,88.7545,87.7462,88.6241,4322592,4322592,0.877899,1,88.4668
67,88.6589,88.8153,88.1634,88.6154,3384503,3384503,-0.008694,-0.01,88.4997
68,88.5285,89.4846,88.5024,89.4672,3649434,3649434,0.85182,0.961,89.1924
69,89.4846,89.8149,89.3412,89.4064,3817396,3817396,-0.060845,-0.068,89.4655
70,89.8062,90.067,89.0935,89.9887,3955362,3955362,0.582369,0.651,89.6854
71,90.1278,90.206,89.1282,89.5541,3826313,3826313,-0.434603,-0.483,89.4695
72,89.3368,89.5281,88.7892,89.0935,3810901,3810901,-0.460678,-0.514,89.1785
73,89.1369,89.8671,88.9631,89.6498,5080977,5080977,0.55629,0.624,89.5165
74,89.3629,89.3803,88.4329,88.7371,3865156,3865156,-0.912666,-1.018,88.751
75,88.7023,89.0413,88.1721,88.2503,3123726,3123726,-0.486753,-0.549,88.4381
76,88.4068,89.163,88.2703,89.1456,2735638,2735638,0.89528,1.014,89.0276
77,89.2238,89.5107,88.8588,89.05,3376045,3376045,-0.095611,-0.107,89.1813
78,89.1108,89.3977,88.4589,88.6589,4179128,4179128,-0.391144,-0.439,88.8096
79,88.8327,89.4411,88.7197,88.9718,5093357,5093357,0.312915,0.353,89.1616
80,88.5198,88.6936,87.6723,88.0504,8936443,8936443,-0.921359,-1.036,88.1406
81,88.7339,88.9266,88.3834,88.7952,4124605,4124605,0.744775,0.846,88.6642
82,88.7163,88.9003,88.2432,88.8741,4232438,4232438,0.07886,0.089,88.6416
83,88.839,89.8116,88.7777,89.3998,3006780,3006780,0.525727,0.592,89.4361
84,89.0581,89.3691,88.8565,88.8916,3363473,3363473,-0.508201,-0.568,89.0319
85,88.8127,89.7853,88.7339,89.759,3595798,3595798,0.867447,0.976,89.5629
86,89.6714,89.8992,89.1544,89.7678,2411257,2411257,0.008763,0.01,89.6571
87,89.7327,89.9167,89.1763,89.3384,2955593,2955593,-0.429343,-0.478,89.7598
88,89.0142,89.3735,88.6506,88.8302,3802693,3802693,-0.508204,-0.569,89.0132
