index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,45.3095,45.5151,44.4617,44.5988,15489910,15489910,-0.762151,-1.68,44.5977
2,45.0355,45.8319,44.8728,45.8233,18273653,18273653,1.2246,2.746,45.1434
3,46.4784,47.2706,45.5065,45.8405,24507243,24507243,0.017129,0.037,46.0561
4,45.6093,46.1273,45.2153,46.046,12246810,12246810,0.205523,0.448,45.8747
5,45.9432,46.9452,45.7634,46.9023,14547783,14547783,0.85635,1.86,46.3947
6,46.4913,47.0993,46.4313,47.0051,10615310,10615310,0.102765,0.219,47.001
7,46.851,47.7416,46.6197,47.6987,15358220,15358220,0.693643,1.476,47.3005
8,47.4761,47.6902,46.9708,47.0993,13629961,13629961,-0.599448,-1.257,47.1711
9,46.6283,47.2791,46.5941,47.1849,10244169,10244169,0.085636,0.182,47.0441
10,47.0565,47.626,47.0565,47.4761,8696479,8696479,0.291159,0.617,47.406
11,47.2877,47.8914,47.2106,47.6902,11201287,11201287,0.21409,0.451,47.7118
12,47.4761,47.6645,47.0907,47.1336,10297100,10297100,-0.556631,-1.167,47.361
13,47.1935,47.9556,47.125,47.7929,10133452,10133452,0.659392,1.399,47.6736
14,47.8272,48.2468,47.8015,47.9813,11666583,11666583,0.188397,0.394,48.0287
15,47.8443,48.7435,47.8443,48.1098,11012522,11012522,0.128453,0.268,48.3312
16,48.067,48.2896,47.7844,47.8786,8515916,8515916,-0.231214,-0.481,48.0079
17,47.9556,48.341,47.8871,48.1869,10139579,10139579,0.308287,0.644,49.1104
18,48.1612,48.5294,47.9557,48.5208,9055465,9055465,0.333976,0.693,48.3148
19,48.5808,49.2016,48.5123,48.8034,11887592,11887592,0.282594,0.582,48.9093
20,48.0413,48.615,47.9128,48.3153,9821842,9821842,-0.48812,-1,48.103
21,48.8463,49.146,48.7349,48.8634,10996055,10996055,0.548067,1.134,48.9364
22,49.1545,49.1888,48.401,48.7092,9048109,9048109,-0.154143,-0.315,48.6719
23,48.8634,49.3686,48.8206,49.0347,10605733,10605733,0.32541,0.668,49.1273
24,49.1117,49.3001,48.8976,49.2145,10634294,10634294,0.179837,0.367,49.1556
25,49.1888,49.3429,48.812,49.086,7383294,7383294,-0.128455,-0.261,49.0324
26,49.1545,49.1888,48.4438,48.5465,10885694,10885694,-0.5395,-1.099,48.6861
27,48.2896,48.7521,48.1783,48.6493,9499235,9499235,0.102761,0.212,48.5514
28,48.8564,49.0118,48.0883,48.1487,10120002,10120002,-0.500564,-1.029,44.9518
29,47.9243,48.3472,47.7,48.0711,12117827,12117827,-0.077674,-0.161,48.1248
30,48.2868,48.7183,48.2868,48.5544,9509414,9509414,0.483301,1.005,49.1302
31,48.5975,48.8133,48.4681,48.6407,7070853,7070853,0.086302,0.178,48.6348
32,48.9168,49.1153,48.0193,48.3213,10048366,10048366,-0.319321,-0.656,47.4101
33,48.1832,48.2264,47.7345,47.9761,8460953,8460953,-0.345216,-0.714,47.9174
34,48.7615,48.8478,47.139,47.1735,23424864,23424864,-0.802625,-1.673,44.9295
35,47.3461,47.3461,46.2328,46.414,15502018,15502018,-0.759469,-1.61,46.5982
36,46.5003,47.8812,46.4399,47.6309,14115683,14115683,1.2169,2.622,47.3896
37,47.838,48.727,47.8035,48.3472,13076140,13076140,0.71632,1.504,48.2597
38,48.235,48.4249,47.7517,48.0969,11123826,11123826,-0.25028,-0.518,47.6935
39,48.5112,49.1585,48.1315,48.3127,8960283,8960283,0.21576,0.449,48.6349
40,48.4076,49.0549,48.3645,48.9945,14181509,14181509,0.681798,1.411,48.8691
41,48.8909,49.0549,48.3386,48.6493,7715399,7715399,-0.345216,-0.705,48.6346
42,48.7442,48.8133,48.3731,48.727,7059965,7059965,0.077676,0.16,48.6389
43,48.7874,48.9772,48.2825,48.5112,8320944,8320944,-0.215761,-0.443,48.5014
44,48.8564,48.9514,48.4076,48.4335,10413019,10413019,-0.077672,-0.16,48.6804
45,47.7863,48.4681,47.4928,47.6309,11432452,11432452,-0.802625,-1.657,47.869
46,47.7086,47.9934,47.208,47.5015,10766930,10766930,-0.129453,-0.272,47.5584
47,47.6568,49.3225,47.6395,49.2793,16115561,16115561,1.7779,3.743,48.8571
48,49.9611,50.1769,48.1401,48.2005,18025980,18025980,-1.0788,-2.189,48.8009
49,47.9416,48.8435,47.7258,48.2609,13631945,13631945,0.060409,0.125,48.3855
50,48.5198,48.96,47.4238,47.9589,10787639,10787639,-0.302062,-0.626,48.1914
51,48.1487,48.5975,47.5619,48.3731,11142923,11142923,0.414258,0.864,48.1004
52,48.7183,49.1498,48.2696,48.5544,9635546,9635546,0.18124,0.375,48.6219
53,48.7183,49.193,48.5629,48.7356,11263810,11263810,0.181233,0.373,48.7954
54,48.8133,49.4519,48.6752,49.4088,6234019,6234019,0.673173,1.381,49.2125
55,49.2707,50.3322,49.2103,49.8575,13978503,13978503,0.448774,0.908,49.939
56,49.8403,49.8575,49.2577,49.6245,7736306,7736306,-0.233018,-0.467,49.5397
57,49.4692,49.9007,49.0635,49.6504,6714791,6714791,0.025893,0.052,49.6262
58,49.6504,49.7841,49.212,49.4001,6228255,6228255,-0.250281,-0.504,49.4377
