index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
1,52.2958,52.6159,51.2234,51.5616,21743148,5435787,-0.47342,-0.91,51.5629
2,51.7282,52.1437,51.0567,51.82,14915444,3728861,0.258445,0.501,51.4008
3,51.506,52.3514,51.4773,52.0785,13523608,3380902,0.258452,0.499,51.7692
4,52.192,52.8997,52.1195,52.8997,12728848,3182212,0.821235,1.577,52.6547
5,53.1847,53.6219,52.7668,53.5688,12580416,3145104,0.669065,1.265,52.813
6,53.5953,53.6533,53.1364,53.2717,10318436,2579609,-0.297095,-0.555,53.3313
7,53.4118,53.8369,53.1509,53.7016,9817868,2454467,0.429941,0.807,53.6009
8,54.067,54.4203,53.9339,54.2436,14656320,3664080,0.542022,1.009,54.1659
9,53.9242,54.384,53.8299,54.2146,13158980,3289745,-0.029039,-0.054,54.2079
10,54.2678,54.7445,54.0839,54.6864,12745548,3186387,0.471853,0.87,54.5648
11,54.8026,55.2865,54.5945,54.7009,13428924,3357231,0.014517,0.027,54.8426
12,54.655,55.1196,54.125,54.1734,9342232,2335558,-0.527506,-0.964,54.5404
13,54.2412,54.4372,53.8613,54.0718,8810584,2202646,-0.101632,-0.188,54.0601
14,54.1371,54.3646,53.9557,54.0476,9137596,2284399,-0.024195,-0.045,54.1305
15,54.1371,55.0325,54.073,54.7324,10879264,2719816,0.68479,1.267,54.7486
16,54.7324,55.2744,54.5633,54.955,11341748,2835437,0.222618,0.407,54.9882
17,54.9841,55.1462,54.5074,54.713,10413568,2603392,-0.241976,-0.44,54.8001
18,54.7324,55.122,54.5896,54.7542,8106904,2026726,0.041136,0.075,54.8072
19,54.8002,55.168,53.404,54.6719,14006976,3501744,-0.082273,-0.15,54.7649
20,54.0186,54.2122,53.1354,53.583,16422960,4105740,-1.0889,-1.992,53.5735
21,54.4808,54.6792,53.8589,54.5654,14939076,3734769,0.982419,1.833,54.3764
22,54.5945,54.638,53.7911,53.9145,11329892,2832473,-0.650912,-1.193,54.0545
23,54.1444,54.7034,54.0379,54.1686,9125960,2281490,0.254075,0.471,54.3758
24,54.4324,54.6211,54.0912,54.58,8971584,2242896,0.411358,0.759,54.4772
25,54.5679,54.776,54.3767,54.5654,7355232,1838808,-0.014521,-0.027,54.5638
26,54.6743,55.2648,54.3549,54.972,11065384,2766346,0.406521,0.745,54.9118
27,54.7155,55.0929,54.5146,54.7106,9400596,2350149,-0.261337,-0.475,54.7401
28,54.8461,55.047,53.3386,53.4233,11996536,2999134,-1.2873,-2.353,51.2648
