date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-03,92.0057,92.0957,90.5234,91.0148,11280034,11280034,-0.401272,-0.439,90.7995,"Feb 3, 14",0
2014-02-04,91.6044,91.7518,90.4825,90.7609,9718823,9718823,-0.253863,-0.279,90.1482,"Feb 4, 14",-0.002789656187784705
2014-02-05,90.9001,90.9001,89.4834,89.6881,10571392,10571392,-1.0728,-1.182,89.4991,"Feb 5, 14",-0.014576750154919731
2014-02-06,90.1713,91.1867,90.0075,91.1212,7989804,7989804,1.4331,1.598,90.9574,"Feb 6, 14",0.0011690406395444238
2014-02-07,91.6453,91.8173,90.4006,91.76,7109393,7109393,0.638757,0.701,90.3531,"Feb 7, 14",0.008187679366432835
2014-02-10,92.1039,92.1039,90.9656,91.4652,9251748,9251748,-0.294809,-0.321,91.3719,"Feb 10, 14",0.004948645714762895
2014-02-11,91.7436,93.2504,91.6781,93.0129,6880829,6880829,1.5478,1.692,92.7776,"Feb 11, 14",0.021953572386029616
2014-02-12,93.269,93.269,92.3767,92.5585,6436077,6436077,-0.454443,-0.489,92.6574,"Feb 12, 14",0.016960977775043195
2014-02-13,92.3106,93.1451,91.8562,92.9551,5064114,5064114,0.396571,0.428,92.7114,"Feb 13, 14",0.02131851083560045
2014-02-14,93.0129,94.0456,92.195,93.7565,6787514,6787514,0.801411,0.862,93.364,"Feb 14, 14",0.030123672193972946
2014-02-18,94.0704,94.277,93.0294,93.1203,6111613,6111613,-0.636169,-0.679,93.51,"Feb 18, 14",0.023133600249629804
2014-02-19,92.9881,95.0536,92.922,93.8556,7993616,7993616,0.73531,0.79,94.4056,"Feb 19, 14",0.03121250609790937
2014-02-20,93.7812,95.2849,93.4425,94.6818,8408726,8408726,0.826193,0.88,94.7581,"Feb 20, 14",0.04029015061286738
2014-02-21,94.7809,94.7975,93.0294,93.0955,9222025,9222025,-1.5863,-1.675,93.608,"Feb 21, 14",0.02286111709304429
2014-02-24,93.6656,95.0123,93.4012,94.31,7348553,7348553,1.2145,1.305,94.5685,"Feb 24, 14",0.03620510070889579
2014-02-25,94.4918,95.3717,94.3844,94.9875,5976339,5976339,0.677479,0.718,94.9617,"Feb 25, 14",0.043648945006746195
2014-02-26,94.8636,95.7228,94.5166,95.4336,6114023,6114023,0.446144,0.47,95.3034,"Feb 26, 14",0.04855034565806885
2014-02-27,95.5576,95.6898,94.6488,95.5823,4923905,4923905,0.148715,0.156,95.2278,"Feb 27, 14",0.05018414587517645
2014-02-28,95.7311,96.4499,94.8553,95.2849,6947143,6947143,-0.297428,-0.311,95.7547,"Feb 28, 14",0.046916545440961244
2014-03-03,94.8388,95.9954,94.4009,94.8801,6046576,6046576,-0.404836,-0.425,94.5835,"Mar 3, 14",0.042468917143146004
2014-03-04,95.7476,96.0615,95.2271,95.2767,5612688,5612688,0.396572,0.418,95.5415,"Mar 4, 14",0.04682645020370326
2014-03-05,95.0784,95.2271,94.1943,94.5413,6704008,6704008,-0.735309,-0.772,94.9506,"Mar 5, 14",0.03874644563301807
2014-03-06,94.7727,95.1362,94.4753,94.8883,5179876,5179876,0.346998,0.367,94.798,"Mar 6, 14",0.042559012380404146
2014-03-07,95.0701,95.7972,94.7148,95.0784,5055612,5055612,0.190025,0.2,95.105,"Mar 7, 14",0.044647683673424636
2014-03-10,95.3841,95.7889,94.2852,95.7063,6203531,6203531,0.627907,0.66,95.1436,"Mar 10, 14",0.05154656165810401
2014-03-11,95.7558,96.0285,94.3844,94.6074,6274518,6274518,-1.0988,-1.148,94.87,"Mar 11, 14",0.03947270114311084
2014-03-12,94.3017,96.1359,94.2935,95.5493,6821466,6821466,0.941863,0.996,95.5655,"Mar 12, 14",0.049821567481332804
2014-03-13,95.508,95.6319,94.2852,94.5579,5405112,5405112,-0.991434,-1.038,89.2111,"Mar 13, 14",0.03892883355234544
2014-03-14,94.4835,94.9297,93.9217,94.2687,6290005,6290005,-0.289167,-0.306,94.3153,"Mar 14, 14",0.03575132835538838
2014-03-17,94.4009,95.2519,94.2935,95.0701,5895674,5895674,0.801409,0.85,95.0172,"Mar 17, 14",0.04455648971376087
2014-03-18,95.5245,96.297,95.1775,96.0368,6329618,6329618,0.966647,1.017,96.6614,"Mar 18, 14",0.05517783920856834
2014-03-19,95.7393,96.4499,94.7314,95.1775,5569641,5569641,-0.859245,-0.895,92.6115,"Mar 19, 14",0.04573651757736106
2014-03-20,94.8883,95.9046,94.451,95.4336,5280578,5280578,0.256122,0.269,95.4962,"Mar 20, 14",0.04855034565806885
2014-03-21,96.0781,97.4909,95.4915,95.5328,14894127,14894127,0.099145,0.104,92.1682,"Mar 21, 14",0.0496402782844109
2014-03-24,95.8385,96.4085,95.5526,95.7145,5386996,5386996,0.181762,0.19,95.8938,"Mar 24, 14",0.051636656895362155
2014-03-25,96.0285,96.8216,96.012,96.739,5573789,5573789,1.0245,1.07,96.5268,"Mar 25, 14",0.06289306794059879
2014-03-26,97.3256,97.7222,96.9621,97.2513,5972009,5972009,0.512241,0.53,97.1524,"Mar 26, 14",0.06852182282441985
2014-03-27,97.2843,97.4826,96.5242,97.2182,5224576,5224576,-0.03305,-0.034,96.754,"Mar 27, 14",0.06815814570817057
2014-03-28,97.5983,97.9453,97.243,97.904,5875099,5875099,0.68574,0.705,97.7089,"Mar 28, 14",0.07569318396568474
2014-03-31,98.1436,98.8293,97.8916,98.2427,5482812,5482812,0.338742,0.346,98.2404,"Mar 31, 14",0.0794145567534072
2014-04-01,98.441,98.8209,98.1849,98.3171,5391435,5391435,0.074357,0.076,98.479,"Apr 1, 14",0.08023200622316373
2014-04-02,97.9205,98.7632,97.9205,98.6062,4505159,4505159,0.289168,0.294,98.4006,"Apr 2, 14",0.08340841269771518
2014-04-03,98.9615,98.9697,98.222,98.3501,4448768,4448768,-0.256121,-0.26,98.4973,"Apr 3, 14",0.08059458461700739
2014-04-04,98.9367,98.9367,97.9783,98.1518,5301335,5301335,-0.198285,-0.202,98.3269,"Apr 4, 14",0.07841581808672876
2014-04-07,97.7552,98.1683,96.9456,96.9456,5241259,5241259,-1.2062,-1.229,97.4135,"Apr 7, 14",0.06516302843054103
2014-04-08,97.21,97.747,96.8117,97.3256,4711840,4711840,0.380048,0.392,97.2945,"Apr 8, 14",0.06933817357177076
2014-04-09,97.3504,98.5236,97.1521,98.3997,5377587,5377587,1.0741,1.104,98.0326,"Apr 9, 14",0.08113955093017841
2014-04-10,96.8298,97.5404,96.2929,96.4085,8769453,8769453,-1.9911,-2.024,96.3007,"Apr 10, 14",0.05926179039013446
2014-04-11,96.2516,97.2678,96.2516,96.6894,7028942,7028942,0.280905,0.291,96.9475,"Apr 11, 14",0.062348101627427766
2014-04-14,97.3587,98.1766,96.9456,98.0692,6819190,6819190,1.3797,1.427,98.516,"Apr 14, 14",0.07750827337971408
