date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-03,101.5068,102.0672,97.9486,97.9931,5262874,5262874,-3.4337,-3.385,98.7105,"Feb 3, 14",0
2014-02-04,96.4008,97.8685,95.6269,97.0502,9759578,9759578,-0.942927,-0.962,96.2919,"Feb 4, 14",-0.009622106046241976
2014-02-05,96.3385,96.8634,95.1821,95.9916,6870949,6870949,-1.0586,-1.091,95.7258,"Feb 5, 14",-0.020424907467974714
2014-02-06,96.1606,97.406,96.1606,97.3615,3717752,3717752,1.3699,1.427,97.0534,"Feb 6, 14",-0.0064453517645629305
2014-02-07,97.8774,98.8915,97.8419,98.5001,3994927,3994927,1.1386,1.169,97.57,"Feb 7, 14",0.005173833667880749
2014-02-10,98.3756,99.3452,98.1443,99.274,4095153,4095153,0.773909,0.786,98.8008,"Feb 10, 14",0.013071328491495856
2014-02-11,99.4075,100.6973,99.0872,100.4838,3364845,3364845,1.2098,1.219,100.1231,"Feb 11, 14",0.025417095693472336
2014-02-12,100.6269,100.922,100.1261,100.8504,3006306,3006306,0.366622,0.365,100.6459,"Feb 12, 14",0.02915817542255521
2014-02-13,100.3139,101.5658,99.8757,101.3154,2520904,2520904,0.464996,0.461,100.9808,"Feb 13, 14",0.03390340748481269
2014-02-14,101.2797,102.0666,100.4838,101.8252,3477828,3477828,0.509707,0.503,101.4143,"Feb 14, 14",0.03910581459306826
2014-02-18,101.9414,102.0398,101.013,101.7089,2392878,2392878,-0.116251,-0.114,101.6825,"Feb 18, 14",0.03791899633749725
2014-02-19,101.4406,103.086,101.4138,101.9772,4196321,4196321,0.268269,0.264,102.1912,"Feb 19, 14",0.04065694421341909
2014-02-20,102.2633,103.1933,101.4675,102.8803,3096784,3096784,0.903164,0.886,102.672,"Feb 20, 14",0.04987289921433251
2014-02-21,103.0949,103.8014,102.5852,103.1754,3659997,3659997,0.295096,0.287,103.3828,"Feb 21, 14",0.052884335733842464
2014-02-24,103.5242,105.1427,103.1053,104.168,3339552,3339552,0.992587,0.962,104.5068,"Feb 24, 14",0.06301362034673878
2014-02-25,103.7746,104.329,103.3364,103.6315,2569549,2569549,-0.536535,-0.515,103.7279,"Feb 25, 14",0.05753874507490838
2014-02-26,103.6315,104.4363,103.3811,103.8282,2951630,2951630,0.196726,0.19,103.8905,"Feb 26, 14",0.059546029261243874
2014-02-27,103.8461,104.2932,103.4169,104.2753,2147123,2147123,0.447114,0.431,103.942,"Feb 27, 14",0.0641085954011048
2014-02-28,104.5525,105.4333,103.9087,104.642,3272406,3272406,0.366631,0.352,104.7544,"Feb 28, 14",0.0678506956102011
2014-03-03,103.3722,104.7135,103.2336,104.4095,3125551,3125551,-0.232495,-0.222,103.8276,"Mar 3, 14",0.06547807957907237
2014-03-04,105.3394,105.6703,104.7582,105.1517,3217568,3217568,0.742203,0.711,105.2182,"Mar 4, 14",0.0730520822384434
2014-03-05,105.6614,105.8939,104.9192,104.9907,2487362,2487362,-0.160962,-0.153,106.2508,"Mar 5, 14",0.07140910941688758
2014-03-06,105.5898,105.6971,104.8566,105.3037,1787080,1787080,0.312981,0.298,105.2196,"Mar 6, 14",0.07460321185879422
2014-03-07,105.7329,105.876,105.1588,105.7955,2912924,2912924,0.491821,0.467,105.5875,"Mar 7, 14",0.07962193256463981
2014-03-10,105.6971,105.876,104.5346,105.3126,2474285,2474285,-0.482882,-0.456,105.1557,"Mar 10, 14",0.07469403457998579
2014-03-11,105.3305,105.3573,103.2827,103.4079,3351510,3351510,-1.9047,-1.809,103.9379,"Mar 11, 14",0.0552569517649712
2014-03-12,103.2023,103.5778,102.3966,103.5599,3184200,3184200,0.152018,0.147,103.1598,"Mar 12, 14",0.056808081385322035
2014-03-13,103.7477,104.177,100.4391,100.9488,5926397,5926397,-2.6111,-2.521,97.8829,"Mar 13, 14",0.030162327755729815
2014-03-14,101.0829,102.2633,100.5285,100.6895,4213789,4213789,-0.259323,-0.257,101.2683,"Mar 14, 14",0.027516223081012817
2014-03-17,101.1992,102.7283,101.0919,102.308,3993559,3993559,1.6185,1.607,102.2837,"Mar 17, 14",0.044032692097709006
2014-03-18,102.5763,103.0949,102.2454,102.5495,2554949,2554949,0.24144,0.236,102.5602,"Mar 18, 14",0.04649715133004259
2014-03-19,102.5137,102.925,100.9041,101.9503,2972374,2972374,-0.59913,-0.584,99.3738,"Mar 19, 14",0.04038243508981755
2014-03-20,101.9682,102.3885,101.0472,101.7357,2895527,2895527,-0.214615,-0.211,101.6774,"Mar 20, 14",0.038192484981085364
2014-03-21,104.1948,105.1606,102.308,102.4511,10342428,10342428,0.715378,0.703,99.2202,"Mar 21, 14",0.04549299899686813
2014-03-24,102.8088,103.0145,100.9846,101.7178,3134943,3134943,-0.733261,-0.716,101.6635,"Mar 24, 14",0.03800981905868881
2014-03-25,102.2723,103.0502,101.7536,103.0145,3453302,3453302,1.2966,1.275,102.5989,"Mar 25, 14",0.05124238339230007
2014-03-26,103.5957,103.9892,102.46,102.46,3462569,3462569,-0.554417,-0.538,102.9704,"Mar 26, 14",0.04558382171805969
2014-03-27,102.2007,102.5674,101.3154,101.7626,2412757,2412757,-0.697494,-0.681,101.4216,"Mar 27, 14",0.03846699410468704
2014-03-28,102.1202,103.2291,102.0487,102.6657,2457093,2457093,0.903164,0.888,102.6453,"Mar 28, 14",0.04768294910560032
2014-03-31,103.2649,104.5883,103.086,104.481,3605443,3605443,1.8153,1.768,104.1521,"Mar 31, 14",0.06620772278864528
2014-04-01,104.7045,105.5183,104.4291,105.4468,3304120,3304120,0.965763,0.924,105.061,"Apr 1, 14",0.07606351875795335
2014-04-02,106.958,107.423,106.1899,107.1905,7472890,7472890,1.7437,1.654,106.9428,"Apr 2, 14",0.09385762875141211
2014-04-03,107.2978,107.3067,106.5198,107.1011,3775308,3775308,-0.089421,-0.083,106.9261,"Apr 3, 14",0.09294531961944263
2014-04-04,107.5214,107.7449,105.5018,105.6793,3700083,3700083,-1.4218,-1.328,106.8669,"Apr 4, 14",0.07843613478908208
2014-04-07,104.8029,106.1085,103.8282,103.8908,3493837,3493837,-1.7884,-1.692,104.3297,"Apr 7, 14",0.060184849749625235
2014-04-08,103.5689,104.0428,102.782,103.5242,2449346,2449346,-0.366632,-0.353,103.5272,"Apr 8, 14",0.05644377002054221
2014-04-09,103.7924,104.6867,103.3697,104.6598,2552621,2552621,1.1357,1.097,104.1361,"Apr 9, 14",0.06803234105258438
2014-04-10,104.633,104.9907,102.3796,102.4422,3075760,3075760,-2.2177,-2.119,102.6501,"Apr 10, 14",0.04540217627567657
2014-04-11,102.0755,103.0234,101.5301,101.8788,3112008,3112008,-0.56336,-0.55,102.2095,"Apr 11, 14",0.03965279188024463
2014-04-14,102.5852,103.1039,101.8967,102.782,2280683,2280683,0.903165,0.887,102.5232,"Apr 14, 14",0.04886976736117133
2014-04-15,103.1039,103.8014,101.8788,103.5868,2793984,2793984,0.804799,0.783,102.9816,"Apr 15, 14",0.05708259050892357
2014-04-16,104.6241,105.5988,103.6494,105.5809,2926358,2926358,1.9941,1.925,104.8731,"Apr 16, 14",0.07743198245590763
2014-04-17,105.9654,106.6718,105.6077,106.028,3314138,3314138,0.447111,0.423,106.1296,"Apr 17, 14",0.08199454859576856
2014-04-21,106.1264,106.4662,105.6882,105.7866,2684950,2684950,-0.24144,-0.228,105.8962,"Apr 21, 14",0.07953110984344826
2014-04-22,106.6629,107.8969,106.4125,106.5824,4189333,4189333,0.795858,0.752,106.9457,"Apr 22, 14",0.0876520897899955
2014-04-23,106.4841,107.2531,106.3589,106.9938,2683332,2683332,0.411343,0.386,106.9422,"Apr 23, 14",0.09185034456507647
2014-04-24,107.3783,107.3783,106.0101,106.3946,2150307,2150307,-0.599134,-0.56,106.4709,"Apr 24, 14",0.08573562832485143
2014-04-25,105.9296,106.2784,104.5212,104.8119,3439749,3439749,-1.5828,-1.488,105.011,"Apr 25, 14",0.06958449115294849
2014-04-28,105.3573,105.8572,104.0786,105.25,3378086,3378086,0.438167,0.418,104.952,"Apr 28, 14",0.07405521409160443
2014-04-29,105.4468,105.8313,104.6777,105.1248,2983606,2983606,-0.12519,-0.119,105.3653,"Apr 29, 14",0.0727775731148417
2014-04-30,105.1695,106.2605,105.0444,105.8134,2841122,2841122,0.688551,0.655,105.8208,"Apr 30, 14",0.07980459848703636
2014-05-01,105.5451,105.9833,104.2753,104.4452,4123105,4123105,-1.3682,-1.293,104.9023,"May 1, 14",0.06584239094385219
2014-05-02,103.7567,104.9996,103.5957,104.1948,5802441,5802441,-0.250381,-0.24,104.2372,"May 2, 14",0.0632871089903269
2014-05-05,103.7567,104.7582,103.2917,104.4631,2825309,2825309,0.268266,0.257,104.3186,"May 5, 14",0.06602505686624874
2014-05-06,104.0249,104.2843,103.6494,103.7388,1957957,1957957,-0.724322,-0.693,106.6082,"May 6, 14",0.058633720129274404
2014-05-07,103.9713,104.6867,103.399,104.5436,2606228,2606228,0.804799,0.776,104.3588,"May 7, 14",0.06684654327702665
2014-05-08,104.5078,105.5988,104.4273,104.642,2520194,2520194,0.098368,0.094,104.9704,"May 8, 14",0.0678506956102011
2014-05-09,104.4631,104.8745,103.864,104.6151,2185116,2185116,-0.026827,-0.026,104.4177,"May 9, 14",0.06757618648659956
2014-05-12,105.0175,106.189,104.9683,106.0817,2795300,2795300,1.4665,1.402,105.968,"May 12, 14",0.0825425463629582
2014-05-13,106.4304,106.5824,106.1264,106.18,2077064,2077064,0.098365,0.093,106.3566,"May 13, 14",0.08354567821611938
2014-05-14,106.5485,106.5575,105.2903,105.4341,1767770,1767770,-0.745897,-0.702,105.8622,"May 14, 14",0.07593391779625303
2014-05-15,105.1915,105.3712,103.6547,103.9782,2864671,2864671,-1.4559,-1.381,104.3023,"May 15, 14",0.06107674928132698
2014-05-16,104.131,104.4456,102.8818,102.9717,4486482,4486482,-1.0065,-0.968,103.2937,"May 16, 14",0.05080561794656971
2014-05-19,102.5134,103.8614,102.3786,103.3671,3205350,3205350,0.395424,0.384,103.3972,"May 19, 14",0.05484059591950857
2014-05-20,103.1964,103.466,101.1923,101.6417,3751157,3751157,-1.7255,-1.669,101.9621,"May 20, 14",0.037233233768500046
2014-05-21,102.091,103.3132,102.091,103.2054,3330107,3330107,1.5637,1.538,103.0082,"May 21, 14",0.053190479737859085
2014-05-22,102.8729,103.8075,102.7021,103.3851,2176495,2176495,0.179739,0.174,103.4064,"May 22, 14",0.05502428232191854
2014-05-23,103.4031,103.9423,103.2863,103.8345,1505074,1505074,0.44934,0.435,103.8119,"May 23, 14",0.059610319502087464
2014-05-27,104.3287,104.5444,103.9333,104.113,1988317,1988317,0.278593,0.268,105.3062,"May 27, 14",0.06245235633937493
2014-05-28,104.1849,104.7421,104.0951,104.2029,1977431,1977431,0.089873,0.086,104.3638,"May 28, 14",0.06336976787141137
2014-05-29,104.4546,104.832,104.0591,104.5624,2279182,2279182,0.359474,0.345,104.4684,"May 29, 14",0.0670383935195437
2014-05-30,104.5085,104.9578,104.0501,104.4456,3661710,3661710,-0.116828,-0.112,104.7484,"May 30, 14",0.06584647286390573
2014-06-02,104.6163,105.6408,104.4276,105.506,2690699,2690699,1.0604,1.015,105.2016,"Jun 2, 14",0.07666764292587949
2014-06-03,106.0452,106.2429,105.6498,105.8835,5362607,5362607,0.377452,0.358,105.9517,"Jun 3, 14",0.08051995497642181
2014-06-04,105.9554,106.0273,104.9848,105.2724,2778371,2778371,-0.611109,-0.577,105.2381,"Jun 4, 14",0.07428380161460355
2014-06-05,105.3982,106.4047,105.0836,106.198,2803276,2803276,0.92565,0.879,105.9507,"Jun 5, 14",0.08372936461852921
2014-06-06,106.4317,106.8541,106.2969,106.8541,1958005,1958005,0.656042,0.618,106.6623,"Jun 6, 14",0.09042473398637256
2014-06-09,106.9439,108.0134,106.4766,107.9235,3177136,3177136,1.0694,1.001,107.5728,"Jun 9, 14",0.1013377472495513
2014-06-10,107.564,107.6988,106.5485,107.0607,2620090,2620090,-0.86274,-0.799,107.0114,"Jun 10, 14",0.09253304569403355
2014-06-11,106.5844,106.6653,105.9194,106.3148,2167199,2167199,-0.745911,-0.697,106.3248,"Jun 11, 14",0.08492128527416734
2014-06-12,105.9104,106.2609,104.752,105.0117,2537871,2537871,-1.3031,-1.226,105.2896,"Jun 12, 14",0.0716234102196992
2014-06-13,105.0746,105.3892,104.513,104.9578,1919833,1919833,-0.053922,-0.051,104.9541,"Jun 13, 14",0.07107337149248272
